month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202604,44460,"Steamboat Springs, CO",717.0,925000.0,-0.0523,0.0728,398,0.1011,0.2539,79.0,-0.1124,0.188,104.0,0.04,0.04,0.0,,,0.0,0.0,0.0,70.0,-0.0789,-0.0789,0.1168,-0.013,-0.0223,105.0,-0.0233,-0.1176,735.0,-0.0184,0.0843,1659.0,-0.0302,0.0295,1948141.0,-0.0774,0.0145,502.0,0.0715,0.1567,0.2642,-0.0336,-0.1112,0
202604,25580,"Hastings, NE",692.0,243500.0,-0.026,0.021,111,0.0673,0.1563,45.0,-0.11,-0.288,58.0,0.0,0.0,0.0,,,0.0,0.0,0.0,34.0,0.1333,-0.0556,0.1532,0.0018,-0.0175,53.0,0.0714,-0.0625,118.0,0.0243,-0.0142,2341.0,-0.0088,-0.0231,305224.0,-0.0184,-0.133,168.0,0.1089,0.0874,0.473,0.0018,-0.1104,0
202604,37220,"Pahrump, NV",534.0,422500.0,0.006,-0.0146,348,0.042,0.3138,68.0,0.0547,0.4136,108.0,0.2,0.35,0.0,,,0.0,0.0,0.0,94.0,-0.1897,-0.1132,0.1869,-0.0569,-0.0569,66.0,0.2336,-0.102,219.0,0.0157,-0.005,1990.0,-0.0028,-0.018,481066.0,0.0197,-0.0603,411.0,0.0661,0.216,0.1899,0.0295,-0.088,0
202604,13700,"Big Spring, TX",837.0,199749.0,0.0015,-0.1668,146,0.021,0.1188,73.0,0.0852,-0.1228,40.0,0.0526,0.3333,0.0,,,0.0,0.0,0.0,34.0,-0.15,0.1333,0.1678,-0.0278,-0.0046,19.0,-0.2083,0.0556,124.0,-0.0034,-0.0525,1662.0,0.0635,-0.0939,246436.0,0.0134,-0.0582,164.0,-0.015,0.1119,0.1301,-0.0377,-0.0078,1
202604,43580,"Sioux City, IA-NE-SD",312.0,282000.0,0.0162,-0.0724,255,0.0899,0.1701,37.0,-0.2563,-0.1778,170.0,0.1972,0.1972,0.0,,,0.0,0.0,0.0,102.0,0.275,0.4167,0.2025,0.0141,0.0265,74.0,0.176,0.0809,150.0,-0.0034,-0.0063,1861.0,0.0047,-0.0341,347142.0,0.0034,-0.1355,334.0,0.1248,0.156,0.2888,0.0211,-0.0238,0
202604,33300,"Milledgeville, GA",690.0,344325.0,0.0563,0.013,222,0.133,0.4383,67.0,-0.036,0.0763,54.0,-0.1,0.2273,0.0,,,0.0,0.0,0.0,56.0,-0.0667,0.5556,0.173,-0.0616,0.0153,38.0,0.4902,0.2667,158.0,-0.0055,-0.1481,1954.0,-0.021,-0.1138,452446.0,0.0154,-0.1468,256.0,0.177,0.3913,0.1716,0.0411,-0.0232,0
202604,32020,"Marion, OH",528.0,187450.0,-0.002,-0.0856,112,0.0821,0.3023,39.0,-0.0064,0.1908,72.0,0.0286,-0.0769,2.0,,,0.0076,0.0076,0.0076,58.0,-0.0645,0.16,0.2274,-0.0393,0.0309,72.0,0.1429,-0.1628,141.0,-0.0152,-0.0345,1535.0,-0.0049,-0.0325,228779.0,0.0005,-0.2749,185.0,0.1182,0.0665,0.6429,0.0342,-0.3571,0
202604,46900,"Vernon, TX",923.0,220825.0,0.1097,0.1946,22,-0.2321,-0.3857,95.0,0.4323,0.3003,6.0,-0.4,-0.4,0.0,,,0.0,0.0,0.0,4.0,-0.3333,0.0,0.1231,-0.0039,0.0197,8.0,-0.1176,0.6667,89.0,-0.0494,-0.1158,2243.0,0.0637,0.2334,234109.0,0.0485,-0.0407,29.0,-0.2055,-0.2658,0.3488,0.0453,0.2203,0
202604,38210,"Pikeville, KY",417.0,224831.0,0.0653,-0.0593,172,0.1242,-0.0523,74.0,-0.2902,0.035,54.0,0.0385,0.2857,0.0,,,0.0,0.0,0.0,32.0,-0.0588,-0.0588,0.1268,-0.0067,0.0017,49.0,0.0211,0.0543,118.0,0.0176,-0.0492,1971.0,0.0017,0.0718,291004.0,0.0679,0.0243,220.0,0.0945,-0.0308,0.282,-0.0285,0.0285,0
202604,21980,"Fallon, NV",856.0,430170.0,-0.039,0.0075,35,0.2963,-0.3519,35.0,-0.25,-0.1266,28.0,0.0,-0.0667,0.0,,-1.0,0.0,0.0,-0.0154,12.0,2.0,-0.4545,0.1169,0.0745,-0.0655,34.0,-0.1519,-0.0429,269.0,0.0556,0.094,1597.0,-0.0637,-0.126,565509.0,-0.0761,0.1873,68.0,0.0,-0.2541,0.9571,-0.5058,0.309,0
202604,13060,"Bay City, TX",785.0,285000.0,0.0,-0.1231,336,0.0151,0.167,85.0,0.3452,0.1115,60.0,0.0,-0.2105,8.0,1.0,3.0,0.0177,0.0087,0.013,64.0,-0.1111,-0.1111,0.145,-0.0162,-0.0378,47.0,0.0,0.1463,184.0,0.0192,-0.1242,1517.0,-0.0208,-0.0161,341493.0,0.0003,-0.1059,381.0,0.0053,0.1598,0.1401,-0.0021,-0.0025,1
202604,39460,"Punta Gorda, FL",194.0,380000.0,-0.018,-0.0306,3569,-0.0344,-0.2672,88.0,-0.0489,0.1076,768.0,-0.0611,-0.2227,36.0,-0.4194,-0.2174,0.0068,-0.0042,0.0,1234.0,-0.1122,-0.4157,0.2321,-0.0176,-0.0807,948.0,-0.0458,0.0792,223.0,-0.0053,-0.0324,1733.0,-0.0063,0.0067,518979.0,-0.0042,0.0249,4508.0,-0.035,-0.2136,0.2655,-0.0032,0.0852,0
202604,12180,"Auburn, NY",466.0,299925.0,0.0019,-0.0061,109,0.0905,0.4183,49.0,-0.0577,0.3706,50.0,0.087,-0.0741,0.0,-1.0,,0.0,-0.0072,0.0,34.0,0.3077,1.125,0.1113,0.0168,0.0432,139.0,0.0453,0.2884,170.0,0.0046,0.0002,1796.0,-0.0524,-0.0025,444559.0,-0.0042,0.1482,247.0,0.0557,0.3397,1.2765,-0.0552,-0.1287,0
202604,21020,"Elizabeth City, NC",700.0,347000.0,-0.0426,-0.108,134,0.1074,-0.0727,51.0,0.0973,0.2848,94.0,0.2051,0.093,2.0,-0.5,-0.5,0.0053,-0.0071,-0.0075,36.0,-0.1429,-0.0526,0.0948,-0.0362,-0.0173,144.0,0.1389,0.3865,190.0,0.0019,0.0327,1847.0,-0.0369,-0.1207,371308.0,-0.0059,-0.0165,278.0,0.142,0.1491,1.0709,0.0296,0.3546,1
202604,15380,"Buffalo-Cheektowaga, NY",46.0,264750.0,0.0185,-0.0545,1001,0.1778,0.2047,37.0,-0.318,0.0571,974.0,0.3603,-0.0041,12.0,0.5,0.2,0.0038,0.0009,0.0007,186.0,0.0333,-0.0606,0.0536,-0.0098,-0.0112,1435.0,0.1667,-0.0258,185.0,0.0074,0.0041,1521.0,0.0128,-0.019,385776.0,0.0102,-0.0244,2434.0,0.1716,0.0645,1.4343,-0.0136,-0.3393,0
202604,43900,"Spartanburg, SC",135.0,309538.0,0.0003,-0.0013,1858,0.0389,0.1498,50.0,-0.0521,0.1111,824.0,0.0591,-0.0615,72.0,-0.6327,-0.0769,0.0193,-0.036,-0.0037,800.0,0.0526,0.173,0.215,-0.0023,0.0296,1058.0,0.0736,0.0287,166.0,-0.0053,-0.0201,1929.0,0.0208,0.0242,383417.0,0.0103,0.0335,2908.0,0.0517,0.1043,0.5693,0.0184,-0.067,0
202604,25775,"Henderson, KY",558.0,232225.0,0.0501,-0.0519,106,0.1158,0.6308,51.0,0.1209,-0.0423,56.0,0.12,0.5556,0.0,,,0.0,0.0,0.0,32.0,-0.2727,0.1429,0.1559,-0.05,-0.0353,57.0,-0.0339,0.2955,137.0,-0.0029,-0.0374,1493.0,0.0388,-0.1389,292160.0,0.0238,0.0685,165.0,0.0752,0.5092,0.5377,-0.0833,-0.1392,0
202604,40900,"Sacramento-Roseville-Folsom, CA",32.0,628520.0,0.0115,-0.008,4240,0.1578,0.026,38.0,-0.0256,0.0133,2796.0,-0.0057,-0.0573,86.0,-0.2951,-0.1731,0.0096,-0.0047,-0.0018,1586.0,0.2488,-0.0306,0.1664,0.0211,-0.0126,2243.0,0.0065,0.0459,344.0,0.0004,-0.0018,1854.0,0.0135,0.0079,893509.0,0.0018,0.008,6459.0,0.0951,0.0249,0.5289,-0.0795,0.0101,0
